,subscriber_ecid,nday,day of week,package_data_noncash_expenses,nonpackage_data_expenses,#activated_monthly_data_packages,subscriber_data_expenses,#activated_short_term_data_packages,#activated_type_two_data_packages,is_data_usage_nonzero,#activated_type_one_data_packages,#activated_type_three_data_packages,data_usage_volume
0,-06FoayTOXJ8-,1,1,0.0,0.0,0,0.0,0,0,1,0,0,0.0722577438358647
1,-06FoayTOXJ8-,2,2,0.0,0.0,0,0.0,0,0,1,0,0,0.0495633960735849
2,-06FoayTOXJ8-,3,3,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
3,-06FoayTOXJ8-,4,4,0.0,0.0,0,0.0,0,0,1,0,0,0.0004025377369682
4,-06FoayTOXJ8-,5,5,0.0,0.0,0,0.0,0,0,1,0,0,0.01620935689917
5,-06FoayTOXJ8-,6,6,0.0,0.0,0,0.0,0,0,1,0,0,0.0228403661141503
6,-06FoayTOXJ8-,7,0,0.0,0.0,0,0.0,0,0,1,0,0,0.1540375940875501
7,-06FoayTOXJ8-,8,1,0.0,0.0,0,0.0,0,0,1,0,0,-0.0117276417086165
8,-06FoayTOXJ8-,9,2,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
9,-06FoayTOXJ8-,10,3,0.0,0.0,0,0.0,0,0,1,0,0,0.1001560108407534
10,-06FoayTOXJ8-,11,4,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
11,-06FoayTOXJ8-,12,5,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
12,-06FoayTOXJ8-,13,6,0.0,0.0,0,0.0,0,0,1,0,0,0.1568030277485085
13,-06FoayTOXJ8-,14,0,0.0,0.0,0,0.0,0,0,1,0,0,0.977188889792696
14,-06FoayTOXJ8-,15,1,0.0,0.0,0,0.0,0,0,1,0,0,0.1155265683995545
15,-06FoayTOXJ8-,16,2,0.0,0.0,0,0.0,0,0,1,0,0,0.0204605490556088
16,-06FoayTOXJ8-,17,3,232170.0,0.0,1,232170.0,0,0,1,0,0,0.0105462755837612
17,-06FoayTOXJ8-,18,4,0.0,0.0,0,0.0,0,0,1,0,0,-0.0139292139943904
18,-06FoayTOXJ8-,19,5,0.0,0.0,0,0.0,0,0,1,0,0,0.0518829775148523
19,-06FoayTOXJ8-,20,6,0.0,0.0,0,0.0,0,0,1,0,0,0.0391989800264655
20,-06FoayTOXJ8-,21,0,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
21,-06FoayTOXJ8-,22,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
22,-06FoayTOXJ8-,23,2,0.0,0.0,0,0.0,0,0,1,0,0,0.1058682048872958
23,-06FoayTOXJ8-,24,3,0.0,0.0,0,0.0,0,0,1,0,0,-0.0139559660330041
24,-06FoayTOXJ8-,25,4,0.0,0.0,0,0.0,0,0,1,0,0,0.0002387485372656
25,-06FoayTOXJ8-,26,5,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
26,-06FoayTOXJ8-,27,6,0.0,0.0,0,0.0,0,0,1,0,0,0.0448178936634394
27,-06FoayTOXJ8-,28,0,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
28,-06FoayTOXJ8-,29,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
29,-06FoayTOXJ8-,30,2,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
30,-06FoayTOXJ8-,31,3,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
31,-06FoayTOXJ8-,32,4,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
32,-06FoayTOXJ8-,33,5,0.0,0.0,0,0.0,0,0,1,0,0,0.0538151941731009
33,-06FoayTOXJ8-,34,6,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
34,-06FoayTOXJ8-,35,0,0.0,0.0,0,0.0,0,0,1,0,0,0.1163010681251145
35,-06FoayTOXJ8-,36,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
36,-06FoayTOXJ8-,37,2,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
37,-06FoayTOXJ8-,38,3,0.0,0.0,0,0.0,0,0,1,0,0,-0.0008894687183732
38,-06FoayTOXJ8-,39,4,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
