,subscriber_ecid,nday,day of week,package_data_noncash_expenses,nonpackage_data_expenses,#activated_monthly_data_packages,subscriber_data_expenses,#activated_short_term_data_packages,#activated_type_two_data_packages,is_data_usage_nonzero,#activated_type_one_data_packages,#activated_type_three_data_packages,data_usage_volume
0,-06FoayTOXJ8-,70,0,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
1,-06FoayTOXJ8-,71,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
2,-06FoayTOXJ8-,72,2,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
3,-06FoayTOXJ8-,73,3,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
4,-06FoayTOXJ8-,74,4,0.0,0.0,0,0.0,0,0,1,0,0,1.8487437020487905
5,-06FoayTOXJ8-,75,5,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
6,-06FoayTOXJ8-,76,6,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
7,-A-7LJ6WUTKfm,70,0,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
8,-A-7LJ6WUTKfm,71,1,402210.0,0.0,1,402210.0,0,0,0,0,0,-0.0139766307813943
9,-A-7LJ6WUTKfm,72,2,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
10,-A-7LJ6WUTKfm,73,3,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
11,-A-7LJ6WUTKfm,74,4,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
12,-A-7LJ6WUTKfm,75,5,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
13,-A-7LJ6WUTKfm,76,6,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
14,-Ajqu-Pi5VJde,70,0,0.0,772.96,0,772.96,0,0,1,0,0,-0.0066675190265952
15,-Ajqu-Pi5VJde,71,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
16,-Ajqu-Pi5VJde,72,2,0.0,1967.886,0,1967.886,0,0,1,0,0,0.0021251816688735
17,-Ajqu-Pi5VJde,73,3,0.0,25.288,0,25.288,0,0,1,0,0,-0.0137704046717013
18,-Ajqu-Pi5VJde,74,4,0.0,1412.422,0,1412.422,0,0,1,0,0,-0.0024267985416106
19,-Ajqu-Pi5VJde,75,5,0.0,3908.086,0,3908.086,0,0,1,0,0,0.0179903489704884
20,-Ajqu-Pi5VJde,76,6,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
21,-DgEYYT0gqMqr,70,0,0.0,85959.58,0,85959.58,0,0,1,0,0,0.6918950823073724
22,-DgEYYT0gqMqr,71,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
23,-DgEYYT0gqMqr,72,2,0.0,2454.026,0,2454.026,0,0,1,0,0,0.0069250692114102
24,-DgEYYT0gqMqr,73,3,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
25,-DgEYYT0gqMqr,74,4,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
26,-DgEYYT0gqMqr,75,5,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
27,-DgEYYT0gqMqr,76,6,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
28,-Ej3Gtwwcsf46,70,0,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
29,-Ej3Gtwwcsf46,71,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
30,-Ej3Gtwwcsf46,72,2,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
31,-Ej3Gtwwcsf46,73,3,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
32,-Ej3Gtwwcsf46,74,4,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
33,-Ej3Gtwwcsf46,75,5,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
34,-Ej3Gtwwcsf46,76,6,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
35,-G-uASnKNsNDL,70,0,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
36,-G-uASnKNsNDL,71,1,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
37,-G-uASnKNsNDL,72,2,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
38,-G-uASnKNsNDL,73,3,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
39,-G-uASnKNsNDL,74,4,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
40,-G-uASnKNsNDL,75,5,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
41,-G-uASnKNsNDL,76,6,0.0,0.0,0,0.0,0,0,0,0,0,-0.0139766307813943
